K00213	00100 01100 01110
K00214	00860
K00215	00300 01100 01110 01120
K00216	01053 01110
K00217	00361 00362 00364 00623 01100 01120
K00218	00860 01100 01110
K00220	00400 00401 01100 01110
K00222	00100 01100 01110
K00223	00100 01100
K00224	00351 00361 00624 00640 01120
K00225	00053 01100 01110
K00226	00240 01100
K00227	00100 01100 01110
K00228	00860 01100 01110
K00230	00860 01100 01110
K00231	00860 01100 01110
K00232	00071 00592 01040 01100 03320 04146
K00234	00020 00190 01100 01110 05010 05012 05016
K00235	00020 00190 01100 01110 05010 05012 05016
K00236	00020 00190 01100 01110 05010 05012 05016
K00237	00020 00190 01100 01110 05010 05012 05016
K00239	00020 00190 00623 00650 00720 01100 01110 01120 05134
K00240	00020 00190 00623 00650 00720 01100 01110 01120
K00241	00020 00190 00623 00650 00720 01100 01110 01120
K00242	00020 00190 00623 00650 00720 01100 01110 01120
K00244	00020 00190 00623 00650 00720 01100 01110 01120 02020
K00245	00020 00190 00623 00650 00720 01100 01110 01120 02020
K00246	00020 00190 00623 00650 00720 01100 01110 01120 02020
K00247	00020 00190 00623 00650 00720 01100 01110 01120 02020
K00248	00071 00280 00650 01100 01110
K00249	00071 00280 00410 00640 01100 01110 03320
K00251	00120 00140 01100
K00252	00071 00310 00362 00380 01100 01120
K00253	00280 01100
K00254	00240 01100
K00255	00071 01100 03320
K00257	00281 01110
K00258	00351 00363 01100 01120
K00259	00250 00430 01100
K00260	00250 00330 00430 00910 01100
K00261	00250 00330 00471 00910 01100 04964
K00262	00250 00330 00910 01100
K00263	00280 00290 01100 01110
K00264	00250 00910 01100 01110 01120
K00265	00250 00910 01100 01110 01120
K00266	00250 00910 01100 01110 01120
K00270	00350 00360 00400 01100 01110
K00271	00280 01100 01110
K00272	00250 04146
K00273	00260 00311 00330 00472 01100 04146
K00274	00260 00330 00340 00350 00360 00380 00950 00982 01100 01110 04726 04728 05030 05031 05034
K00275	00750 01100
K00276	00260 00350 00360 00410 00950 00960 01100 01110
K00278	00250 00760 01100
K00279	00908
K00281	00260 01100
K00282	00260 01100
K00283	00260 01100
K00284	00630 00910
K00285	00360
K00286	00330 01100 01110
K00287	00670 00790 01100
K00288	00670 01100
K00289	00670
K00290	00300 00310 01100 01110
K00291	00310 01100 01110
K00292	00310 01100 01110
K00293	00300 00310 01100 01110
K00294	00250 00330 01100
K00295	00670 01100
K00296	00330
K00297	00670 00680 00720 01100 01120
K00299	00740 01100
K00301	00260 01100
K00302	00260 01100
K00303	00260 01100
K00304	00260 01100
K00305	00260 01100
K00306	00260 00310 01100 04146
K00307	00950 01100 01110
K00308	04146
K00310	00480
K00312	04310 04340 04916 05166 05200 05217
K00313	00910
K00314	00260 01100
K00315	00260 01100
K00316	00330 00410
K00317	00680 01120
K00318	00330 01100 01110
K00319	00680 01100 01120
K00320	00680 01100 01120
K00322	00760 01100
K00323	00760 01100
K00324	00760 01100
K00325	00760 01100
K00326	00520 01110
K00328	00562
K00329	00190
K00330	00190 00910 01100
K00331	00190 00910 01100
K00332	00190 00910 01100
K00333	00190 00910 01100
K00334	00190 00910 01100
K00335	00190 00910 01100
K00336	00190 00910 01100
K00337	00190 00910 01100
K00338	00190 00910 01100
K00339	00190 00910 01100
K00340	00190 00910 01100
K00341	00190 00910 01100
K00342	00190 00910 01100
K00343	00190 00910 01100
K00356	00190
K00357	00790 01100
K00360	00910 01120
K00362	00910 01120
K00363	00910 01120
K00364	00230
K00365	00230 00232 01100 01120
K00366	00910 01120
K00367	00910 01120
K00368	00910 01120
K00370	00910 01120 02020
K00371	00910 01120 02020
K00372	00910 01120
K00373	00910 01120 02020
K00374	00910 01120 02020
K00376	00910 01120
K00380	00920 01100 01120
K00381	00920 01100 01120
K00382	00010 00020 00260 00280 00620 01100 01110 01120
K00383	00480
K00384	00240 00450
K00387	00920 01120
K00390	00920 01100 01120
K00392	00920 01100 01120
